STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
637080,99999, 19800101,   72.5, 6,   62.6, 6, 9999.9, 0, 9999.9, 0,  23.8, 6,   6.4, 6,  11.1, 999.9,   84.2 ,  60.8 , 0.31G,999.9, 000000,
637080,99999, 19800102,   68.9, 6,   58.4, 6, 9999.9, 0, 9999.9, 0,  21.7, 6,   4.2, 6,   7.0, 999.9,   87.8 ,  51.8*, 0.00G,999.9, 010000,
637080,99999, 19800103,   66.2, 5,   55.4, 5, 9999.9, 0, 9999.9, 0,  22.4, 5,   4.2, 5,   8.0, 999.9,   86.0 ,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800104,   66.2, 5,   56.8, 5, 9999.9, 0, 9999.9, 0,  19.9, 5,   0.8, 5,   4.1, 999.9,   82.4 ,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800105,   74.1, 8,   56.8, 8, 9999.9, 0, 9999.9, 0,  22.1, 8,   4.2, 8,   9.9, 999.9,   86.0 ,  64.4*, 0.00D,999.9, 000000,
637080,99999, 19800106,   71.6, 5,   59.0, 5, 9999.9, 0, 9999.9, 0,  23.6, 5,   5.2, 5,  15.9, 999.9,   87.8 ,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800108,   72.0, 5,   63.7, 5, 9999.9, 0, 9999.9, 0,  22.4, 5,   4.0, 5,   8.0, 999.9,   86.0 ,  64.4*, 0.04C,999.9, 000000,
637080,99999, 19800109,   72.5, 4,   56.8, 4, 9999.9, 0, 9999.9, 0,  21.0, 4,   5.0, 4,   8.0, 999.9,   86.0*,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800110,   75.7, 4,   61.7, 4, 9999.9, 0, 9999.9, 0,  21.7, 4,   7.3, 4,  14.0, 999.9,   86.0 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800111,   73.9, 7,   61.8, 7, 9999.9, 0, 9999.9, 0,  21.7, 7,   8.3, 7,  24.1, 999.9,   86.0 ,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800112,   74.9, 7,   61.8, 7, 9999.9, 0, 9999.9, 0,  21.3, 7,   7.4, 7,  15.0, 999.9,   87.8 ,  66.2 , 0.00D,999.9, 000000,
637080,99999, 19800113,   76.3, 8,   62.4, 8, 9999.9, 0, 9999.9, 0,  21.4, 8,   4.3, 8,   9.9, 999.9,   87.8 ,  62.6 , 0.00H,999.9, 010000,
637080,99999, 19800114,   69.4, 5,   58.6, 5, 9999.9, 0, 9999.9, 0,  16.2, 5,   1.8, 5,   5.1, 999.9,   75.2*,  62.6*, 0.00G,999.9, 000000,
637080,99999, 19800115,   68.9, 4,   58.1, 4, 9999.9, 0, 9999.9, 0,  15.5, 4,   1.7, 4,   5.1, 999.9,   89.6 ,  62.6*, 0.00G,999.9, 000000,
637080,99999, 19800116,   76.7, 7,   58.5, 7, 9999.9, 0, 9999.9, 0,  22.6, 7,   7.3, 7,  14.0, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800117,   70.4, 6,   60.8, 6, 9999.9, 0, 9999.9, 0,  24.3, 6,   4.2, 6,   7.0, 999.9,   87.8 ,  62.6*, 0.00C,999.9, 000000,
637080,99999, 19800118,   74.1, 5,   57.6, 5, 9999.9, 0, 9999.9, 0,  22.4, 5,   1.7, 4,   6.0, 999.9,   89.6 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800119,   74.4, 7,   60.0, 7, 9999.9, 0, 9999.9, 0,  20.9, 7,   6.6, 7,  15.0, 999.9,   86.0*,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800120,   73.8, 5,   60.1, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   6.4, 5,  15.9, 999.9,   89.6 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800121,   75.4, 8,   58.1, 8, 9999.9, 0, 9999.9, 0,  24.5, 8,   6.4, 8,  14.0, 999.9,   89.6 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800122,   75.9, 8,   55.6, 8, 9999.9, 0, 9999.9, 0,  23.3, 8,   6.5, 8,  13.0, 999.9,   91.4 ,  62.6*, 0.00G,999.9, 000000,
637080,99999, 19800123,   74.3, 8,   54.0, 8, 9999.9, 0, 9999.9, 0,  23.3, 8,   6.4, 8,  14.0, 999.9,   87.8 ,  60.8 , 0.00G,999.9, 010010,
637080,99999, 19800124,   73.1, 6,   62.0, 6, 9999.9, 0, 9999.9, 0,  19.7, 6,   5.8, 6,  15.0, 999.9,   84.2 ,  62.6 , 7.87G,999.9, 000000,
637080,99999, 19800125,   71.6, 5,   62.2, 5, 9999.9, 0, 9999.9, 0,  22.4, 5,   5.2, 4,   8.0, 999.9,   84.2*,  62.6 , 0.02G,999.9, 010010,
637080,99999, 19800126,   74.6, 6,   63.5, 6, 9999.9, 0, 9999.9, 0,  21.2, 6,   9.4, 6,  18.1, 999.9,   84.2 ,  64.4*, 0.00G,999.9, 000000,
637080,99999, 19800127,   75.9, 5,   49.6, 4, 9999.9, 0, 9999.9, 0,  21.0, 4,   5.2, 5,   8.0, 999.9,   86.0 ,  68.0*, 0.00G,999.9, 000000,
637080,99999, 19800128,   78.8, 4,   61.7, 4, 9999.9, 0, 9999.9, 0,  24.1, 4, 999.9, 0, 999.9, 999.9,   87.8 ,  71.6*, 0.04B,999.9, 000000,
637080,99999, 19800129,   75.2, 5,   60.8, 5, 9999.9, 0, 9999.9, 0,  25.5, 5,   8.8, 5,  15.0, 999.9,   84.2*,  64.4*, 0.00B,999.9, 000000,
637080,99999, 19800131,   73.1, 7,   63.1, 7, 9999.9, 0, 9999.9, 0,  23.5, 7,   6.5, 7,  13.0, 999.9,   82.4*,  64.4 , 0.00G,999.9, 010010,
637080,99999, 19800203,   76.1, 6,   63.2, 6, 9999.9, 0, 9999.9, 0,  24.9, 6,   7.6, 6,   9.9, 999.9,   82.4*,  66.2 , 0.59G,999.9, 000010,
637080,99999, 19800204,   74.4, 7,   65.4, 7, 9999.9, 0, 9999.9, 0,  24.9, 7,   5.0, 7,   8.0, 999.9,   86.0 ,  66.2*, 0.00G,999.9, 000010,
637080,99999, 19800205,   72.5, 4,   62.6, 4, 9999.9, 0, 9999.9, 0,  20.2, 4,   6.0, 4,   9.9, 999.9,   77.0*,  68.0*, 0.00A,999.9, 000010,
637080,99999, 19800206,   75.6, 5,   62.2, 5, 9999.9, 0, 9999.9, 0,  18.3, 5,   4.7, 4,   9.9, 999.9,   89.6 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800207,   72.3, 5,   55.4, 5, 9999.9, 0, 9999.9, 0,  23.6, 5,   3.0, 5,   6.0, 999.9,   89.6 ,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800208,   73.1, 7,   60.8, 7, 9999.9, 0, 9999.9, 0,  21.3, 7,   5.7, 7,  13.0, 999.9,   86.0 ,  64.4*, 0.00G,999.9, 000000,
637080,99999, 19800209,   77.9, 8,   58.1, 8, 9999.9, 0, 9999.9, 0,  24.9, 8,   5.5, 8,  13.0, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800210,   79.1, 6,   57.2, 6, 9999.9, 0, 9999.9, 0,  21.7, 6,   6.9, 6,  12.0, 999.9,   93.2 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800211,   70.7, 6,   63.5, 6, 9999.9, 0, 9999.9, 0,  20.7, 6,   3.0, 6,   8.0, 999.9,   86.0 ,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800213,   75.2, 8,   58.3, 8, 9999.9, 0, 9999.9, 0,  23.3, 8,   6.0, 8,  14.0, 999.9,   89.6 ,  59.0 , 0.00G,999.9, 010010,
637080,99999, 19800214,   70.9, 5,   62.2, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   2.8, 5,   8.0, 999.9,   87.8 ,  64.4 , 0.08G,999.9, 000010,
637080,99999, 19800215,   72.7, 5,   63.0, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   5.6, 5,  17.1, 999.9,   86.0 ,  62.6 , 1.06G,999.9, 000000,
637080,99999, 19800216,   73.4, 6,   60.2, 6, 9999.9, 0, 9999.9, 0,  22.8, 6,   4.5, 6,   8.9, 999.9,   86.0 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800217,   76.5, 7,   49.0, 7, 9999.9, 0, 9999.9, 0,  22.2, 7,   3.2, 7,   6.0, 999.9,   87.8*,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800218,   77.4, 4,   51.8, 4, 9999.9, 0, 9999.9, 0,  25.6, 4,   4.8, 4,   9.9, 999.9,   87.8*,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800219,   75.7, 7,   55.4, 6, 9999.9, 0, 9999.9, 0,  23.5, 7,   4.9, 7,   8.0, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800220,   79.2, 5,   57.6, 5, 9999.9, 0, 9999.9, 0,  24.9, 5,   4.4, 5,   9.9, 999.9,   91.4 ,  68.0*, 0.00C,999.9, 000000,
637080,99999, 19800221,   78.5, 6,   59.6, 6, 9999.9, 0, 9999.9, 0,  24.9, 6,   3.0, 6,   8.0, 999.9,   95.0*,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800222,   78.4, 5,   53.6, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   8.2, 5,  13.0, 999.9,   96.8 ,  66.2 , 0.00G,999.9, 000000,
